Vernier Format 2
data°.txt 1/14/2025 4:43:19
Run 1
Time	Force	
T	F	
s	N	

0.0	3.3	
0.1	3.3	
0.2	3.1	
0.3	3.1	
0.4	3.3	
0.5	3.6	
0.6	4.8	
0.7	6.7	
0.8	9.0	
0.9	11.1	
1.0	13.4	
1.1	15.3	
1.2	17.0	
1.3	17.8	
1.4	18.0	
1.5	17.0	
1.6	16.8	
1.7	16.1	
1.8	15.7	
1.9	15.7	
2.0	16.1	
2.1	16.4	
2.2	17.2	
2.3	17.4	
2.4	17.6	
2.5	17.8	
2.6	18.5	
2.7	19.3	
2.8	20.8	
2.9	21.2	
3.0	21.6	
3.1	21.2	
3.2	20.3	
3.3	20.3	
3.4	20.6	
3.5	20.1	
3.6	20.6	
3.7	21.4	
3.8	22.0	
3.9	22.7	
4.0	23.5	
4.1	23.7	
4.2	23.5	
4.3	23.3	
4.4	23.5	
4.5	23.5	
4.6	22.7	
4.7	23.1	
4.8	22.9	
4.9	22.0	
5.0	21.8	
5.1	21.4	
5.2	21.4	
5.3	21.2	
5.4	21.4	
5.5	21.4	
5.6	21.8	
5.7	22.0	
5.8	22.2	
5.9	22.0	
6.0	22.2	
6.1	22.7	
6.2	22.4	
6.3	22.9	
6.4	23.1	
6.5	23.1	
6.6	22.9	
6.7	24.7	
6.8	24.3	
6.9	23.7	
7.0	23.5	
7.1	23.5	
7.2	23.1	
7.3	22.9	
7.4	22.9	
7.5	23.3	
7.6	23.3	
7.7	22.9	
7.8	22.9	
7.9	22.2	
8.0	22.0	
8.1	22.0	
8.2	21.8	
8.3	21.2	
8.4	20.6	
8.5	19.7	
8.6	19.9	
8.7	20.1	
8.8	20.3	
8.9	20.8	
9.0	21.8	
9.1	23.3	
9.2	23.5	
9.3	24.3	
9.4	24.5	
9.5	24.3	
9.6	24.5	
9.7	23.9	
9.8	23.9	
9.9	24.1	
10.0	24.3	
10.1	25.2	
10.2	25.2	
10.3	25.4	
10.4	25.4	
10.5	26.2	
10.6	26.6	
10.7	26.2	
10.8	26.2	
10.9	25.0	
11.0	24.5	
11.1	25.4	
