Vernier Format 2
data2.txt 1/14/2025 4:48:11
Run 1
Time	Force	
T	F	
s	N	

0.0	1.9	
0.1	1.9	
0.2	1.9	
0.3	1.9	
0.4	1.9	
0.5	1.9	
0.6	2.3	
0.7	3.1	
0.8	4.2	
0.9	5.7	
1.0	8.4	
1.1	10.3	
1.2	11.3	
1.3	14.1	
1.4	17.8	
1.5	20.6	
1.6	22.7	
1.7	23.5	
1.8	23.7	
1.9	23.7	
2.0	22.7	
2.1	22.0	
2.2	21.2	
2.3	20.8	
2.4	20.8	
2.5	20.8	
2.6	21.2	
2.7	21.2	
2.8	22.4	
2.9	24.7	
3.0	26.8	
3.1	27.1	
3.2	27.5	
3.3	26.4	
3.4	25.4	
3.5	25.0	
3.6	24.3	
3.7	23.9	
3.8	22.7	
3.9	22.0	
4.0	21.2	
4.1	21.6	
4.2	21.4	
4.3	22.0	
4.4	23.1	
4.5	24.3	
4.6	25.4	
4.7	25.4	
4.8	24.7	
4.9	23.5	
5.0	22.0	
5.1	22.2	
5.2	22.0	
5.3	22.0	
5.4	22.0	
5.5	23.3	
5.6	23.7	
5.7	24.1	
5.8	24.5	
5.9	25.4	
6.0	26.0	
6.1	26.2	
6.2	26.4	
6.3	26.2	
6.4	25.8	
6.5	26.2	
6.6	26.8	
6.7	27.9	
6.8	28.9	
6.9	30.2	
7.0	30.0	
7.1	28.5	
7.2	30.0	
7.3	30.2	
7.4	29.8	
7.5	28.1	
7.6	26.8	
7.7	26.4	
7.8	26.2	
7.9	25.8	
8.0	25.4	
8.1	25.2	
8.2	24.5	
8.3	24.5	
8.4	23.9	
8.5	23.3	
8.6	23.1	
8.7	23.5	
8.8	23.7	
8.9	23.1	
9.0	23.5	
9.1	23.1	
9.2	23.5	
9.3	24.5	
9.4	24.7	
9.5	24.3	
9.6	24.3	
9.7	24.3	
9.8	24.5	
9.9	24.1	
10.0	24.1	
10.1	23.9	
10.2	24.1	
10.3	25.0	
10.4	24.5	
10.5	23.5	
10.6	23.9	
10.7	23.5	
10.8	22.7	
10.9	22.0	
11.0	22.4	
11.1	21.8	
